customer_id,total_past_orders,avg_rating_given,is_premium_member,complaints_last_90d
CUST00159,21,4.9,0,0
CUST00160,16,4.7,0,0
CUST00161,20,4.5,1,1
CUST00162,11,4.9,1,0
CUST00163,17,4.2,0,0
CUST00164,8,3.6,1,0
CUST00165,11,5.0,1,0
CUST00166,14,3.4,0,1
CUST00167,18,4.6,1,2
CUST00168,16,5.0,1,2
CUST00169,12,4.0,0,0
CUST00170,11,3.6,0,0
CUST00171,12,3.7,0,2
CUST00172,12,4.2,0,0
CUST00173,20,4.6,0,0
CUST00174,10,3.8,1,0
CUST00175,12,3.9,0,0
CUST00176,17,4.3,0,0
CUST00177,10,3.3,1,2
CUST00178,15,4.1,0,0
CUST00179,15,3.7,0,0
CUST00180,15,4.2,0,0
CUST00181,17,4.9,0,0
CUST00182,16,4.7,0,0
CUST00183,14,4.5,0,2
CUST00184,17,4.9,0,1
CUST00185,13,3.7,0,0
CUST00186,10,5.0,0,1
CUST00187,22,4.3,0,1
CUST00188,20,4.1,1,0
CUST00189,14,4.0,0,0
CUST00190,11,4.6,0,0
CUST00191,12,4.8,1,0
CUST00192,10,4.9,0,1
CUST00193,12,5.0,0,0
CUST00194,18,3.4,1,0
CUST00195,23,5.0,1,1
CUST00196,14,4.9,0,0
CUST00197,8,4.5,0,0
CUST00198,13,3.2,1,0
CUST00199,12,4.5,0,0
CUST00200,13,4.8,1,1
CUST00201,13,3.5,0,1
CUST00202,13,4.5,0,0
CUST00203,13,5.0,0,0
CUST00204,7,4.3,0,1
CUST00205,9,3.6,0,0
CUST00206,15,4.8,0,1
CUST00207,17,3.9,0,0
CUST00208,15,3.6,1,0
CUST00209,13,3.9,1,0
CUST00210,15,3.9,0,0
CUST00211,13,4.3,1,1
CUST00212,11,4.3,0,0
CUST00213,13,4.8,1,0
CUST00214,10,5.0,1,0
CUST00215,9,5.0,1,0
CUST00216,17,4.5,0,0
CUST00217,11,4.0,0,0
CUST00218,23,3.4,1,0
CUST00219,23,4.9,0,0
CUST00220,9,4.8,0,0
CUST00221,14,3.9,0,0
CUST00222,15,4.4,0,1
CUST00223,8,4.5,0,0
CUST00224,20,4.1,1,0
CUST00225,13,3.6,0,2
CUST00226,21,4.1,0,0
CUST00227,15,4.9,0,0
CUST00228,15,4.4,0,1
CUST00229,20,3.8,0,0
CUST00230,18,4.9,0,0
CUST00231,12,4.9,0,0
CUST00232,14,4.1,0,0
CUST00233,16,4.8,1,0
CUST00234,17,4.1,0,0
CUST00235,12,4.2,0,0
CUST00236,10,5.0,0,0
CUST00237,12,4.8,0,0
CUST00238,12,4.8,0,1
CUST00239,18,5.0,1,0
CUST00240,20,4.2,0,0
CUST00241,11,3.6,0,0
CUST00242,14,3.8,0,0
CUST00243,15,3.2,0,0
CUST00244,8,5.0,0,0
CUST00245,14,4.2,1,0
CUST00246,10,4.9,1,0
CUST00247,10,4.0,0,1
CUST00248,15,3.7,0,0
CUST00249,10,5.0,0,0
CUST00250,14,3.9,0,0
CUST00251,15,3.4,0,0
CUST00252,8,4.5,0,0
CUST00253,9,5.0,0,0
CUST00254,7,4.3,1,0
CUST00255,13,3.3,0,0
CUST00256,14,3.8,0,1
CUST00257,15,4.2,0,0
CUST00258,12,5.0,1,1
CUST00259,12,3.5,1,1
CUST00260,17,3.8,1,0
CUST00261,15,4.3,0,0
CUST00262,11,4.3,0,0
CUST00263,12,4.6,0,1
CUST00264,12,4.4,1,0
CUST00265,7,4.4,0,0
CUST00266,14,4.2,0,1
CUST00267,13,4.7,0,0
CUST00268,6,4.5,0,0
CUST00269,13,4.2,0,0
CUST00270,10,3.6,0,1
CUST00271,9,4.5,0,0
CUST00272,15,4.3,1,0
CUST00273,11,4.2,0,0
CUST00274,12,3.5,1,0
CUST00275,16,3.1,0,0
CUST00276,16,3.3,0,0
CUST00277,22,4.3,0,0
CUST00278,12,4.2,0,0
CUST00279,16,3.6,0,0
CUST00280,13,3.8,0,0
CUST00281,13,4.8,0,1
CUST00282,14,3.5,1,0
CUST00283,15,4.2,0,0
CUST00284,7,3.7,0,0
CUST00285,16,5.0,0,0
CUST00286,8,3.7,0,0
CUST00287,23,4.7,1,0
CUST00288,12,4.4,1,0
CUST00289,13,3.6,1,1
CUST00290,14,4.5,0,0
CUST00291,19,4.8,0,0
CUST00292,12,4.1,1,0
CUST00293,11,4.0,1,2
CUST00294,16,4.5,1,0
CUST00295,9,4.6,1,1
CUST00296,9,4.7,0,0
CUST00297,13,4.5,0,0
CUST00298,14,4.4,1,0
CUST00299,13,4.7,0,0
CUST00300,12,4.4,1,0
CUST00301,9,3.4,1,0
CUST00302,12,3.9,1,1
CUST00303,12,3.7,1,0
CUST00304,12,3.3,1,0
CUST00305,14,5.0,0,0
CUST00306,14,5.0,0,1
CUST00307,17,4.9,0,0
CUST00308,11,4.8,0,0
CUST00309,9,4.6,0,0
CUST00310,10,4.3,0,0
CUST00311,16,4.5,0,1
CUST00312,14,3.9,0,0
CUST00313,10,3.5,0,1
CUST00314,12,4.0,1,0
CUST00315,13,4.4,0,0
CUST00316,13,4.7,0,0
CUST00317,6,4.7,0,0
CUST00318,10,4.0,1,0
CUST00319,13,5.0,0,1
CUST00320,13,4.6,0,0
CUST00321,22,4.0,1,0
CUST00322,12,4.7,0,0
CUST00323,14,3.4,0,0
CUST00324,10,4.3,0,0
CUST00325,17,4.9,0,0
CUST00326,13,3.6,0,2
CUST00327,13,2.4,0,0
CUST00328,6,4.1,0,1
CUST00329,10,5.0,0,1
CUST00330,10,4.0,1,1
CUST00331,6,3.3,1,0
CUST00332,13,4.8,0,2
CUST00333,13,4.5,1,0
CUST00334,14,4.7,0,0
CUST00335,15,4.1,0,2
CUST00336,10,4.4,0,0
CUST00337,14,4.7,1,1
CUST00338,14,4.1,0,0
CUST00339,14,4.8,1,1
CUST00340,15,4.4,0,0
CUST00341,11,4.4,1,0
CUST00342,11,3.9,0,0
CUST00343,17,4.8,0,0
CUST00344,11,4.7,0,0
CUST00345,17,5.0,1,0
CUST00346,8,4.9,0,0
CUST00347,17,3.5,1,0
CUST00348,14,3.0,0,0
CUST00349,11,4.3,1,1
CUST00350,16,4.4,0,0
CUST00351,8,4.1,0,1
CUST00352,8,4.1,1,0
CUST00353,16,4.5,1,0
CUST00354,11,4.6,0,0
CUST00355,13,4.0,0,0
CUST00356,13,3.2,0,1
CUST00357,15,4.7,1,0
CUST00358,7,4.2,0,1
CUST00359,8,4.9,1,0
CUST00360,14,3.1,0,1
CUST00361,18,3.8,0,0
CUST00362,14,4.2,0,0
CUST00363,13,3.2,1,0
CUST00364,16,3.8,0,0
CUST00365,13,4.3,0,0
CUST00366,13,3.3,0,0
CUST00367,10,4.7,0,0
CUST00368,16,3.1,1,0
CUST00369,7,4.3,0,0
CUST00370,13,5.0,1,0
CUST00371,10,4.2,0,0
CUST00372,18,3.3,1,2
CUST00373,14,4.7,0,0
CUST00374,14,4.0,0,0
CUST00375,8,3.7,1,0
CUST00376,7,4.3,0,0
CUST00377,14,4.5,0,1
CUST00378,9,3.2,0,0
CUST00379,5,3.8,0,0
CUST00380,15,4.5,0,0
CUST00381,10,4.7,1,0
CUST00382,12,3.1,0,0
CUST00383,15,4.9,0,0
CUST00384,9,3.6,0,0
CUST00385,14,3.9,0,0
CUST00386,11,3.2,0,1
CUST00387,15,5.0,0,0
CUST00388,12,4.1,0,0
CUST00389,16,4.0,0,1
CUST00390,21,4.3,1,1
CUST00391,22,4.7,0,0
CUST00392,13,5.0,1,1
CUST00393,11,5.0,0,0
CUST00394,11,4.2,0,0
CUST00395,8,4.5,0,0
CUST00396,18,5.0,0,0
CUST00397,13,4.9,1,1
CUST00398,13,4.4,0,1
CUST00399,9,4.0,1,0
CUST00400,17,3.3,0,1
CUST00401,13,3.7,0,2
CUST00402,9,4.1,1,1
CUST00403,18,4.9,0,0
CUST00404,19,5.0,1,0
CUST00405,8,4.1,0,1
CUST00406,11,4.6,1,0
CUST00407,15,4.5,1,0
CUST00408,7,4.1,0,0
CUST00409,11,3.8,1,1
CUST00410,21,3.9,0,1
CUST00411,5,4.1,0,0
CUST00412,10,4.7,0,0
CUST00413,10,4.1,1,0
CUST00414,11,2.4,0,0
CUST00415,7,4.3,0,0
CUST00416,13,4.4,0,0
CUST00417,11,3.9,0,0
CUST00418,16,4.2,0,0
CUST00419,15,4.2,1,0
CUST00420,10,3.8,0,0
CUST00421,17,4.0,1,1
CUST00422,19,4.2,0,0
CUST00423,15,5.0,0,0
CUST00424,15,4.3,0,0
CUST00425,13,4.0,0,0
CUST00426,12,4.9,1,0
CUST00427,15,4.0,1,0
CUST00428,15,3.8,0,0
CUST00429,11,3.9,0,0
CUST00430,11,3.2,1,0
CUST00431,12,4.3,0,0
CUST00432,12,4.7,0,0
CUST00433,13,2.8,0,1
CUST00434,8,4.6,0,0
CUST00435,16,4.6,0,0
CUST00436,17,4.3,1,0
CUST00437,12,4.3,0,0
CUST00438,10,4.1,0,2
CUST00439,22,5.0,0,0
CUST00440,9,5.0,0,0
CUST00441,12,4.5,0,0
CUST00442,19,4.8,1,0
CUST00443,9,4.2,0,0
CUST00444,13,5.0,0,0
CUST00445,16,4.2,0,0
CUST00446,5,3.3,0,2
CUST00447,17,4.0,1,0
CUST00448,14,5.0,0,0
CUST00449,16,3.4,0,0
CUST00450,10,3.6,0,1
CUST00451,10,4.5,0,0
CUST00452,17,4.1,0,0
CUST00453,15,3.7,0,0
CUST00454,12,4.3,1,0
CUST00455,11,4.3,0,0
CUST00456,11,3.8,1,0
CUST00457,13,3.8,0,0
CUST00458,11,3.3,0,0
CUST00459,16,5.0,0,3
CUST00460,16,3.3,0,0
CUST00461,11,4.2,0,0
CUST00462,13,4.5,0,0
CUST00463,16,4.4,0,1
CUST00464,11,4.6,0,1
CUST00465,11,2.7,0,0
CUST00466,10,4.6,0,0
CUST00467,11,4.5,1,0
CUST00468,12,3.8,0,0
CUST00469,7,5.0,1,0
CUST00470,16,4.6,0,0
CUST00471,16,3.3,0,0
CUST00472,12,4.5,1,0
CUST00473,19,4.7,1,1
CUST00474,16,3.4,1,1
CUST00475,15,3.5,1,0
CUST00476,12,4.6,0,0
CUST00477,17,4.7,1,1
CUST00478,10,4.3,1,0
CUST00479,13,5.0,1,0
CUST00480,16,3.6,1,0
CUST00481,11,4.0,1,0
CUST00482,16,4.9,1,1
CUST00483,15,5.0,0,0
CUST00484,11,3.3,1,0
CUST00485,11,4.9,0,0
CUST00486,6,4.3,0,0
CUST00487,9,4.5,1,0
CUST00488,10,4.4,0,0
CUST00489,8,4.2,1,0
CUST00490,12,3.3,0,0
CUST00491,10,3.8,0,1
CUST00492,7,4.1,0,0
CUST00493,14,4.3,0,0
CUST00494,22,4.9,0,0
CUST00495,10,4.8,1,1
CUST00496,10,4.8,0,0
CUST00497,14,4.9,0,1
CUST00498,17,3.7,1,1
CUST00499,10,4.1,1,0
CUST00500,14,3.4,1,0
CUST00501,16,4.6,0,0
CUST00502,10,4.2,1,0
CUST00503,15,3.8,1,1
CUST00504,13,5.0,1,0
CUST00505,6,4.6,1,0
CUST00506,13,4.7,0,1
CUST00507,14,4.0,1,0
CUST00508,12,3.9,0,0
CUST00509,11,4.7,0,0
CUST00510,19,3.9,0,0
CUST00511,9,5.0,0,0
CUST00512,8,3.5,0,0
CUST00513,11,3.7,1,1
CUST00514,11,4.6,1,0
CUST00515,12,4.2,0,0
CUST00516,17,4.3,1,0
CUST00517,14,4.3,0,0
CUST00518,15,4.3,0,0
CUST00519,18,5.0,0,0
CUST00520,10,3.3,0,0
CUST00521,10,4.6,1,0
CUST00522,14,5.0,0,0
CUST00523,9,2.8,0,1
CUST00524,13,3.6,0,0
CUST00525,15,4.4,0,1
CUST00526,13,4.2,0,0
CUST00527,15,3.7,0,0
CUST00528,13,4.4,0,0
CUST00529,16,4.4,0,2
CUST00530,7,4.0,0,1
CUST00531,15,4.8,0,1
CUST00532,11,3.4,0,0
CUST00533,13,3.3,0,0
CUST00534,15,4.4,0,1
CUST00535,16,5.0,0,0
CUST00536,14,3.9,1,1
CUST00537,16,3.9,0,1
CUST00538,14,5.0,0,0
CUST00539,11,4.1,0,0
CUST00540,18,3.7,1,0
CUST00541,16,5.0,0,0
CUST00542,20,3.5,0,0
CUST00543,10,3.7,0,0
CUST00544,16,4.4,0,0
CUST00545,10,3.9,0,0
CUST00546,11,4.0,1,2
CUST00547,10,4.6,0,0
CUST00548,10,3.6,0,0
CUST00549,16,4.1,0,0
CUST00550,10,4.6,1,0
CUST00551,17,5.0,0,0
CUST00552,17,4.3,1,0
CUST00553,15,4.2,0,0
CUST00554,11,4.6,0,0
CUST00555,12,4.7,0,0
CUST00556,20,5.0,0,0
CUST00557,10,4.2,0,0
CUST00558,9,5.0,1,0
CUST00559,14,3.9,1,2
CUST00560,13,4.3,0,1
CUST00561,14,3.5,0,0
CUST00562,12,4.8,1,0
CUST00563,10,4.4,1,0
CUST00564,16,4.4,0,1
CUST00565,11,4.2,1,1
CUST00566,20,3.8,0,0
CUST00567,13,4.1,0,0
CUST00568,12,3.8,0,0
CUST00569,8,4.8,0,0
CUST00570,6,4.0,0,1
CUST00571,7,4.4,0,0
CUST00572,16,4.3,0,0
CUST00573,10,5.0,0,0
CUST00574,11,4.1,0,0
CUST00575,14,3.8,1,1
CUST00576,13,3.5,0,1
CUST00577,13,3.9,0,1
CUST00578,11,3.9,0,1
CUST00579,14,4.4,0,0
CUST00580,10,5.0,0,0
CUST00581,9,3.5,0,0
CUST00582,17,3.5,0,1
CUST00583,7,4.3,1,1
CUST00584,15,4.4,0,0
CUST00585,16,4.0,1,0
CUST00586,12,4.2,1,0
CUST00587,11,3.7,0,1
CUST00588,13,4.2,0,0
CUST00589,12,3.5,0,0
CUST00590,10,5.0,1,0
CUST00591,13,4.3,0,0
CUST00592,12,3.3,0,0
CUST00593,8,4.0,0,0
CUST00594,12,5.0,0,1
CUST00595,15,3.8,1,0
CUST00596,6,4.3,1,0
CUST00597,11,5.0,1,0
CUST00598,19,5.0,0,2
CUST00599,16,4.8,0,1
CUST00600,15,3.5,0,0
CUST00601,10,3.4,1,1
CUST00602,12,4.4,0,1
CUST00603,13,3.5,0,0
CUST00604,6,4.6,0,0
CUST00605,19,3.5,0,0
CUST00606,9,3.7,1,0
CUST00607,16,3.1,0,0
CUST00608,11,3.5,0,0
CUST00609,18,4.1,1,0
CUST00610,19,5.0,1,0
CUST00611,11,4.7,1,1
CUST00612,14,5.0,0,0
CUST00613,13,4.6,0,0
CUST00614,11,3.1,0,0
CUST00615,15,3.7,0,0
CUST00616,10,4.8,1,0
CUST00617,11,3.9,1,0
CUST00618,10,3.3,1,0
CUST00619,12,2.5,1,0
CUST00620,13,4.3,0,0
CUST00621,13,4.5,0,0
CUST00622,15,3.6,0,1
CUST00623,7,4.1,0,0
CUST00624,14,3.9,0,0
CUST00625,15,4.0,0,0
CUST00626,9,3.5,1,0
CUST00627,10,4.0,1,1
CUST00628,19,3.4,1,0
CUST00629,15,5.0,1,1
CUST00630,17,4.1,0,1
CUST00631,17,4.9,0,0
CUST00632,14,4.1,1,0
CUST00633,20,4.5,1,0
CUST00634,14,3.8,1,0
CUST00635,14,4.4,0,0
CUST00636,12,4.0,1,1
CUST00637,12,3.5,0,0
CUST00638,14,4.0,1,1
CUST00639,5,3.9,0,0
CUST00640,11,3.2,1,0
CUST00641,10,5.0,0,1
CUST00642,13,4.9,1,0
CUST00643,10,4.0,1,0
CUST00644,12,4.6,0,0
CUST00645,12,3.7,0,0
CUST00646,9,4.6,0,0
CUST00647,10,4.6,0,0
CUST00648,6,5.0,0,0
CUST00649,18,3.7,0,0
CUST00650,10,4.5,1,0
CUST00651,9,4.8,0,0
CUST00652,10,4.6,0,1
CUST00653,13,4.9,0,0
CUST00654,11,4.0,1,0
CUST00655,17,4.5,1,0
CUST00656,17,3.6,1,0
CUST00657,17,3.8,0,1
CUST00658,17,4.7,0,0
CUST00659,14,5.0,0,1
CUST00660,15,5.0,0,0
CUST00661,8,4.6,1,0
CUST00662,16,4.7,0,0
CUST00663,10,4.2,0,0
CUST00664,13,4.8,1,0
CUST00665,18,3.4,0,0
CUST00666,6,3.2,1,0
CUST00667,9,4.8,0,0
CUST00668,16,4.4,0,0
CUST00669,10,4.3,0,0
CUST00670,14,3.7,0,0
CUST00671,11,4.9,0,2
CUST00672,8,4.7,0,0
CUST00673,15,4.6,0,0
CUST00674,13,4.2,0,0
CUST00675,13,4.5,0,0
CUST00676,10,3.8,0,1
CUST00677,13,4.0,1,0
CUST00678,17,3.7,0,0
CUST00679,11,3.2,0,0
CUST00680,14,4.8,1,0
CUST00681,15,4.7,0,0
CUST00682,11,4.8,0,0
CUST00683,22,4.4,0,0
CUST00684,13,4.9,0,0
CUST00685,17,5.0,0,0
CUST00686,10,4.7,1,0
CUST00687,15,4.3,0,0
CUST00688,9,3.0,1,0
CUST00689,11,4.7,1,0
CUST00690,11,5.0,0,0
CUST00691,20,3.9,0,0
CUST00692,23,4.1,0,0
CUST00693,12,3.9,0,0
CUST00694,18,5.0,0,0
CUST00695,20,3.5,1,0
CUST00696,13,3.1,0,0
CUST00697,12,5.0,1,0
CUST00698,6,4.8,0,0
CUST00699,16,4.4,0,0
CUST00700,18,3.7,0,0
CUST00701,14,3.9,1,1
CUST00702,17,5.0,1,1
CUST00703,20,4.0,1,1
CUST00704,15,4.5,0,1
CUST00705,13,2.7,1,0
CUST00706,17,4.1,0,0
CUST00707,6,3.6,1,0
CUST00708,10,4.4,0,1
CUST00709,17,4.9,1,0
CUST00710,13,4.5,0,0
CUST00711,16,3.4,0,0
CUST00712,7,4.0,0,0
CUST00713,13,4.0,0,1
CUST00714,13,4.3,0,1
CUST00715,22,3.8,0,0
CUST00716,9,4.0,1,1
CUST00717,7,4.3,0,0
CUST00718,13,4.4,0,0
CUST00719,14,4.3,0,0
CUST00720,14,2.6,0,0
CUST00721,9,4.0,1,0
CUST00722,15,3.4,0,0
CUST00723,16,3.9,0,0
CUST00724,19,3.7,1,1
CUST00725,10,3.4,0,1
CUST00726,16,3.9,0,1
CUST00727,17,5.0,0,0
CUST00728,12,4.5,1,0
CUST00729,15,2.7,0,0
CUST00730,10,4.1,0,0
CUST00731,14,5.0,0,0
CUST00732,13,4.6,0,0
CUST00733,16,3.7,0,0
CUST00734,14,4.6,0,0
CUST00735,10,5.0,0,0
CUST00736,11,3.1,1,0
CUST00737,9,4.2,0,0
CUST00738,13,4.8,0,0
CUST00739,17,4.2,1,0
CUST00740,17,4.4,0,0
CUST00741,10,4.3,0,0
CUST00742,14,5.0,0,0
CUST00743,9,3.5,0,0
CUST00744,12,4.8,1,0
CUST00745,12,4.6,0,0
CUST00746,15,4.4,0,0
CUST00747,13,4.1,0,1
CUST00748,11,4.5,0,1
CUST00749,12,4.3,0,0
CUST00750,14,3.0,0,0
CUST00751,16,4.2,0,0
CUST00752,19,4.5,1,0
CUST00753,21,4.4,0,0
CUST00754,13,3.7,1,1
CUST00755,16,3.5,0,1
CUST00756,11,4.3,0,0
CUST00757,11,5.0,1,2
CUST00758,17,4.8,0,0
CUST00759,18,4.7,0,0
CUST00760,13,3.5,1,0
CUST00761,9,4.0,0,0
CUST00762,13,4.5,0,1
CUST00763,15,4.7,1,0
CUST00764,8,4.2,0,0
CUST00765,11,4.3,0,0
CUST00766,11,2.6,1,0
CUST00767,13,4.8,1,0
CUST00768,7,3.3,0,1
CUST00769,12,5.0,0,1
CUST00770,11,4.2,1,0
CUST00771,6,4.2,0,0
CUST00772,9,4.3,1,0
CUST00773,8,4.0,0,0
CUST00774,14,4.1,1,0
CUST00775,12,3.9,0,2
CUST00776,16,4.2,1,1
CUST00777,17,4.4,1,0
CUST00778,10,4.8,0,0
CUST00779,10,3.9,0,0
CUST00780,14,3.1,1,1
CUST00781,11,3.5,1,0
CUST00782,11,3.6,1,0
CUST00783,14,3.9,0,1
CUST00784,17,4.6,0,1
CUST00785,13,4.0,1,2
CUST00786,9,3.7,0,0
CUST00787,9,3.3,0,0
CUST00788,13,4.7,0,0
CUST00789,7,5.0,0,0
CUST00790,21,4.5,0,1
CUST00791,16,4.1,0,0
CUST00792,14,4.1,0,0
CUST00793,11,3.9,0,1
CUST00794,8,3.7,0,0
CUST00795,15,3.6,1,0
CUST00796,13,4.0,0,0
CUST00797,15,4.7,0,0
CUST00798,10,3.9,1,0
CUST00799,13,4.0,0,1
CUST00800,22,4.4,1,0
CUST00801,13,5.0,0,1
CUST00802,12,4.4,1,0
CUST00803,18,4.1,0,0
CUST00804,10,4.1,0,1
CUST00805,13,4.7,1,0
CUST00806,11,4.0,1,1
CUST00807,17,4.8,0,0
CUST00808,15,3.8,0,0
CUST00809,16,5.0,0,0
CUST00810,16,3.7,1,0
CUST00811,15,2.6,0,0
CUST00812,10,4.7,1,0
CUST00813,9,3.5,0,0
CUST00814,14,3.9,1,0
CUST00815,11,4.3,0,0
CUST00816,13,4.7,0,1
CUST00817,9,4.0,0,0
CUST00818,13,3.9,0,0
CUST00819,14,3.8,0,0
CUST00820,19,3.8,0,0
CUST00821,14,4.4,0,0
CUST00822,16,4.5,0,0
CUST00823,13,3.6,0,0
CUST00824,9,5.0,0,0
CUST00825,14,3.7,1,1
CUST00826,11,4.2,0,1
CUST00827,13,3.9,0,0
CUST00828,14,2.6,0,0
CUST00829,17,3.8,0,0
CUST00830,16,3.6,0,0
CUST00831,17,4.3,0,0
CUST00832,17,3.9,0,0
CUST00833,14,4.1,0,0
CUST00834,12,5.0,0,0
CUST00835,12,4.7,1,0
CUST00836,6,4.3,0,0
CUST00837,11,4.7,0,0
CUST00838,8,4.1,0,0
CUST00839,14,4.4,0,1
CUST00840,18,4.4,0,0
CUST00841,10,4.7,1,0
CUST00842,11,4.1,0,0
CUST00843,13,5.0,1,0
CUST00844,8,4.0,0,0
CUST00845,7,5.0,1,0
CUST00846,17,4.3,0,1
CUST00847,11,4.5,1,1
CUST00848,16,4.1,0,0
CUST00849,12,3.8,0,1
CUST00850,20,4.9,0,0
CUST00851,12,3.7,0,0
CUST00852,11,3.9,0,0
CUST00853,9,3.6,0,0
CUST00854,15,4.1,0,0
CUST00855,13,4.2,1,0
CUST00856,12,4.4,0,0
CUST00857,17,4.1,0,0
CUST00858,12,4.5,0,0
CUST00859,11,3.9,1,0
CUST00860,9,4.8,0,0
CUST00861,9,3.8,1,0
CUST00862,13,4.4,0,0
CUST00863,4,3.9,1,0
CUST00864,13,4.0,1,0
CUST00865,12,4.2,0,0
CUST00866,11,2.4,0,1
CUST00867,14,4.5,0,0
CUST00868,14,4.1,0,0
CUST00869,11,3.5,0,2
