order_id,user_id,food_name,distance_km,restaurant_prep_time_min,hour_of_day,is_peak_hour,order_value_inr,customer_total_past_orders,customer_is_premium,customer_complaints_90d,cuisine_type,weather,traffic_level,vehicle_type,delivery_time_min,customer_rating,churned,rating
68,user_007,Margherita Pizza,1.76,5,21,0,284.52,45,0,1,Chinese,Cloudy,High,Scooter,37.4,1,0,5
69,user_083,Paneer Tikka,6.4,8,9,0,732.81,28,0,0,Indian,Sunny,Medium,Scooter,40.0,5,0,4
70,user_071,Ice Cream Cone,10.96,7,18,0,1358.97,41,0,0,Fast Food,Storm,High,Bike,69.1,5,0,4
71,user_059,Chocolate Donut,1.64,27,21,0,260.18,70,0,1,South Indian,Rain,Medium,Bicycle,45.6,2,0,1
72,user_048,Margherita Pizza,11.47,26,9,1,1392.18,8,1,0,Italian,Storm,Medium,Bicycle,83.4,1,0,5
73,user_020,Ice Cream Cone,10.55,29,23,0,692.11,6,0,2,South Indian,Rain,High,Bike,76.8,5,0,2
74,user_035,Ice Cream Cone,3.7,12,17,1,1230.11,71,0,0,Indian,Rain,High,Scooter,57.3,3,1,3
75,user_048,Sushi Roll,5.11,9,18,0,1137.36,3,1,1,Italian,Sunny,Low,Bike,28.3,4,0,5
76,user_097,Veg Fried Rice,7.61,26,11,1,214.21,56,0,3,South Indian,Sunny,Low,Bike,55.9,4,0,3
77,user_099,Margherita Pizza,6.1,26,16,0,531.79,28,0,0,Fast Food,Sunny,Medium,Bicycle,47.5,3,0,3
78,user_059,Paneer Tikka,2.52,17,18,0,845.62,29,0,2,Italian,Sunny,Low,Scooter,25.6,1,0,5
79,user_014,Margherita Pizza,1.82,5,21,0,1452.68,21,0,3,Fast Food,Storm,High,Bicycle,49.0,3,1,5
80,user_083,Margherita Pizza,3.05,29,15,0,335.39,65,0,1,Fast Food,Sunny,Medium,Scooter,47.4,3,0,1
81,user_080,Sushi Roll,9.24,25,18,0,205.49,63,0,3,Chinese,Rain,Low,Bike,57.7,5,0,2
82,user_037,Paneer Tikka,9.66,23,10,0,178.64,64,1,3,Fast Food,Sunny,Medium,Scooter,57.0,1,0,5
83,user_008,Chocolate Donut,9.61,6,11,0,729.63,73,0,2,South Indian,Storm,Medium,Bicycle,59.9,5,1,3
84,user_100,Sushi Roll,3.35,19,9,1,1487.38,67,0,1,Continental,Sunny,High,Bicycle,53.9,3,0,3
85,user_090,Ice Cream Cone,3.77,28,20,0,1292.19,19,0,1,Indian,Rain,Low,Bicycle,47.5,3,0,2
86,user_024,Margherita Pizza,9.6,9,18,0,1038.16,67,1,3,South Indian,Sunny,Medium,Bicycle,47.4,1,0,4
87,user_049,Margherita Pizza,10.21,8,13,1,810.77,69,0,0,Chinese,Cloudy,Low,Bike,54.1,5,0,2
88,user_061,Margherita Pizza,4.69,28,19,1,432.54,56,0,3,Continental,Cloudy,High,Scooter,66.7,2,0,5
89,user_014,Ice Cream Cone,5.31,10,11,0,1243.65,17,0,0,Fast Food,Storm,Medium,Scooter,52.1,3,0,3
90,user_065,Sushi Roll,2.19,18,15,0,228.4,28,0,2,Indian,Cloudy,Medium,Scooter,41.7,4,1,4
91,user_018,Ice Cream Cone,1.64,27,23,1,1009.94,18,1,2,Indian,Rain,Low,Bike,49.5,4,0,4
92,user_054,Ice Cream Cone,10.1,22,22,1,1416.32,67,0,2,South Indian,Sunny,Low,Bike,57.1,1,1,1
93,user_086,Paneer Tikka,6.43,12,19,1,1105.96,37,0,2,Indian,Storm,High,Bicycle,69.9,4,0,1
94,user_095,Sushi Roll,4.95,16,12,1,455.11,2,0,0,South Indian,Sunny,Medium,Scooter,47.6,1,0,1
95,user_026,Paneer Tikka,8.37,27,14,0,769.94,23,0,0,Italian,Rain,High,Bike,72.1,4,1,1
96,user_048,Chocolate Donut,6.74,13,20,0,151.27,24,0,0,Italian,Rain,High,Scooter,59.1,3,0,4
97,user_042,Paneer Tikka,4.72,30,10,0,826.99,10,0,0,Fast Food,Rain,Low,Scooter,48.4,2,0,3
98,user_008,Paneer Tikka,5.4,27,20,0,721.47,57,1,2,Continental,Rain,Medium,Scooter,56.1,4,0,3
99,user_020,Ice Cream Cone,8.3,19,22,0,148.72,8,1,2,South Indian,Cloudy,Low,Bike,47.2,5,1,3
100,user_072,Paneer Tikka,4.72,15,16,1,1009.39,31,0,0,Italian,Storm,Low,Bicycle,55.7,4,0,3
101,user_088,Sushi Roll,11.04,20,19,1,380.25,17,0,3,Continental,Storm,Low,Bicycle,71.6,4,0,1
102,user_064,Paneer Tikka,11.16,25,19,0,343.73,46,0,0,South Indian,Rain,Medium,Bike,71.3,2,0,5
103,user_041,Ice Cream Cone,10.67,7,10,1,533.01,61,0,3,South Indian,Rain,Medium,Bicycle,64.5,1,1,4
104,user_091,Margherita Pizza,2.59,9,19,0,705.67,7,0,1,Fast Food,Rain,Low,Bicycle,27.6,2,0,5
105,user_085,Veg Fried Rice,6.83,9,18,0,975.03,68,1,1,Italian,Sunny,Medium,Bike,40.9,5,1,5
106,user_039,Chocolate Donut,9.37,13,15,0,1011.58,73,0,0,Indian,Sunny,Low,Bike,42.5,5,0,4
107,user_045,Chocolate Donut,5.56,20,12,1,750.22,43,0,2,Italian,Storm,Low,Bicycle,62.1,3,0,3
108,user_021,Sushi Roll,3.58,12,18,0,297.23,6,0,3,South Indian,Sunny,Medium,Bike,36.5,4,0,2
109,user_037,Chocolate Donut,4.05,5,23,0,226.07,50,0,1,Chinese,Storm,High,Scooter,50.9,3,1,3
110,user_037,Paneer Tikka,3.54,16,20,1,1169.4,46,1,0,South Indian,Sunny,Low,Scooter,38.5,2,0,5
111,user_052,Veg Fried Rice,1.98,8,9,0,651.47,43,0,2,Fast Food,Rain,High,Bicycle,43.1,2,0,1
112,user_039,Veg Fried Rice,6.47,9,18,0,948.76,65,1,2,Indian,Cloudy,High,Scooter,49.5,5,0,5
113,user_034,Ice Cream Cone,9.88,16,15,1,563.74,14,0,2,South Indian,Storm,High,Bicycle,84.7,1,0,1
114,user_020,Chocolate Donut,7.63,17,14,0,306.89,31,1,0,South Indian,Storm,Low,Bicycle,53.1,4,0,4
115,user_044,Veg Fried Rice,2.09,11,19,1,885.24,61,0,2,South Indian,Storm,High,Bicycle,62.7,4,0,3
116,user_093,Sushi Roll,3.93,14,17,1,1179.64,26,0,3,South Indian,Storm,Low,Bike,50.5,3,0,1
117,user_069,Sushi Roll,9.75,14,16,0,158.89,10,0,3,South Indian,Storm,Medium,Scooter,66.1,4,0,2
118,user_071,Margherita Pizza,6.61,25,21,0,425.97,12,0,3,Indian,Cloudy,Low,Bike,45.6,2,1,4
119,user_023,Paneer Tikka,1.18,29,20,1,225.25,73,1,0,Fast Food,Cloudy,Medium,Scooter,54.7,2,0,4
120,user_015,Sushi Roll,7.43,15,13,1,498.39,69,0,1,Chinese,Rain,Low,Bike,55.2,4,0,4
121,user_052,Ice Cream Cone,4.38,14,11,1,894.89,24,1,3,Continental,Rain,High,Bike,61.7,5,0,2
122,user_008,Ice Cream Cone,4.91,19,11,1,1155.26,42,0,0,Chinese,Storm,Medium,Bike,63.1,3,0,4
123,user_018,Chocolate Donut,10.79,27,12,0,1177.78,15,0,2,Italian,Cloudy,Medium,Bicycle,66.1,2,0,4
124,user_010,Veg Fried Rice,5.91,22,11,0,1222.79,27,0,0,Continental,Rain,Medium,Bicycle,53.3,5,0,1
125,user_008,Chocolate Donut,4.27,21,12,1,718.58,26,0,3,South Indian,Cloudy,High,Bicycle,59.9,5,0,5
126,user_055,Sushi Roll,8.24,14,10,0,1112.59,50,0,0,Fast Food,Storm,High,Bike,70.9,5,1,5
127,user_088,Ice Cream Cone,2.57,9,12,1,1172.16,53,0,3,Indian,Sunny,Medium,Bike,37.4,4,0,3
128,user_049,Margherita Pizza,8.87,12,15,0,1268.75,2,0,3,Indian,Cloudy,High,Scooter,60.6,5,0,4
129,user_005,Chocolate Donut,8.84,8,9,0,145.1,53,0,0,Italian,Cloudy,Medium,Bike,47.1,1,1,2
130,user_077,Ice Cream Cone,3.0,29,18,1,179.02,64,0,1,Continental,Sunny,Medium,Scooter,54.7,5,0,2
131,user_007,Sushi Roll,3.96,6,20,1,879.41,75,0,1,Italian,Cloudy,High,Bicycle,51.9,4,0,5
132,user_054,Veg Fried Rice,2.61,22,12,1,762.93,28,0,1,Italian,Storm,Medium,Bike,62.8,1,0,4
133,user_010,Margherita Pizza,11.11,16,14,0,229.45,24,1,3,Chinese,Rain,Low,Scooter,56.0,5,1,4
134,user_100,Sushi Roll,2.69,28,20,1,264.24,61,0,1,Chinese,Rain,Medium,Bike,56.7,2,0,4
135,user_006,Veg Fried Rice,10.65,19,15,0,238.05,60,0,2,South Indian,Rain,Medium,Scooter,65.4,3,0,2
136,user_063,Ice Cream Cone,5.3,9,23,0,374.67,29,0,1,Indian,Rain,High,Bicycle,50.5,3,0,4
137,user_053,Margherita Pizza,6.12,22,15,0,1486.45,7,0,0,Chinese,Rain,Low,Bike,49.4,1,0,1
138,user_003,Veg Fried Rice,4.79,24,16,0,992.82,61,0,0,Continental,Cloudy,Low,Bike,39.8,5,0,5
139,user_046,Sushi Roll,9.77,10,20,0,249.82,12,0,1,Italian,Sunny,High,Bicycle,54.6,5,0,1
140,user_061,Paneer Tikka,8.52,14,8,1,1057.66,10,0,0,Italian,Storm,Medium,Bicycle,67.7,4,0,2
141,user_036,Veg Fried Rice,7.01,8,9,0,1352.71,5,1,3,Indian,Storm,Medium,Bicycle,52.8,1,0,2
142,user_070,Sushi Roll,9.94,17,20,1,1400.42,38,1,1,Italian,Sunny,Low,Bicycle,55.2,4,0,2
143,user_035,Chocolate Donut,1.12,18,23,0,425.0,9,0,3,Continental,Sunny,High,Bicycle,43.2,3,1,2
144,user_082,Margherita Pizza,8.1,7,20,0,1181.03,37,0,0,Italian,Storm,Medium,Bike,53.6,2,0,3
145,user_014,Paneer Tikka,5.61,29,10,0,477.67,16,1,3,Italian,Sunny,Low,Bike,44.0,5,0,3
146,user_022,Margherita Pizza,10.43,5,16,0,508.59,49,0,1,South Indian,Sunny,High,Bicycle,55.0,2,0,3
147,user_026,Chocolate Donut,3.67,14,11,1,777.92,9,0,1,Italian,Storm,Low,Bike,52.3,4,0,2
148,user_026,Chocolate Donut,4.87,15,18,0,716.31,55,0,1,Italian,Sunny,Medium,Scooter,38.5,5,0,2
149,user_070,Margherita Pizza,6.15,23,8,0,1194.76,41,0,3,Fast Food,Rain,Medium,Bicycle,53.7,5,0,4
150,user_049,Paneer Tikka,1.3,30,22,0,1213.06,63,1,2,Continental,Cloudy,Medium,Scooter,43.7,2,0,5
151,user_046,Margherita Pizza,10.5,18,9,0,861.1,46,0,0,Fast Food,Storm,High,Bicycle,75.5,2,0,5
152,user_087,Veg Fried Rice,1.63,12,12,1,814.95,66,0,1,Continental,Storm,Medium,Scooter,51.1,4,0,3
153,user_045,Chocolate Donut,11.56,8,11,0,1263.84,18,0,2,Indian,Storm,Low,Scooter,58.2,2,0,4
154,user_071,Margherita Pizza,9.82,8,18,1,131.62,43,0,1,Continental,Storm,Medium,Bike,71.7,2,0,5
155,user_091,Margherita Pizza,2.64,26,14,0,704.99,3,0,1,Fast Food,Storm,Low,Scooter,48.5,4,0,3
156,user_079,Chocolate Donut,6.67,16,11,0,556.38,58,1,3,Continental,Sunny,High,Bike,53.0,3,0,3
157,user_024,Sushi Roll,8.62,14,12,0,1386.16,75,1,1,Italian,Storm,High,Bike,69.2,2,0,5
158,user_058,Veg Fried Rice,5.36,20,9,0,989.7,22,0,3,Fast Food,Storm,High,Bike,65.1,2,0,3
159,user_011,Veg Fried Rice,11.58,21,8,0,1014.3,52,0,3,Indian,Storm,Low,Bike,68.9,4,0,2
160,user_047,Veg Fried Rice,2.43,19,9,0,891.91,63,0,0,Italian,Sunny,Medium,Bike,36.8,3,0,4
161,user_016,Margherita Pizza,8.02,12,14,0,516.79,4,0,2,South Indian,Cloudy,Medium,Bike,51.6,1,0,5
162,user_042,Ice Cream Cone,2.41,9,17,0,1198.79,26,0,2,Continental,Rain,High,Bicycle,43.5,5,0,3
163,user_092,Sushi Roll,2.06,29,15,0,1199.97,7,0,1,South Indian,Rain,High,Bicycle,57.7,2,0,4
164,user_063,Sushi Roll,5.26,19,8,1,205.72,11,0,2,Fast Food,Cloudy,High,Bicycle,64.6,3,0,1
165,user_044,Veg Fried Rice,10.28,30,12,0,848.19,27,0,1,Continental,Storm,High,Bicycle,85.7,3,0,5
166,user_089,Margherita Pizza,7.7,19,17,1,122.79,20,0,0,Fast Food,Rain,High,Bike,74.5,4,0,2
167,user_001,Margherita Pizza,4.78,25,23,1,331.74,50,0,1,Italian,Sunny,High,Scooter,62.0,1,0,1
168,user_014,Paneer Tikka,0.59,15,18,0,1243.95,54,0,3,Chinese,Cloudy,High,Bicycle,38.4,4,1,3
169,user_020,Chocolate Donut,8.29,7,22,0,842.71,1,0,1,Italian,Cloudy,Medium,Bike,46.3,2,0,2
170,user_078,Sushi Roll,4.92,18,8,0,540.31,17,1,0,Indian,Sunny,Low,Bike,33.4,5,0,3
171,user_002,Sushi Roll,1.13,30,18,1,1436.54,63,0,1,Chinese,Cloudy,High,Scooter,60.8,5,1,2
172,user_051,Veg Fried Rice,9.27,29,17,0,202.19,75,1,2,Fast Food,Storm,Medium,Bicycle,72.8,1,0,5
173,user_051,Veg Fried Rice,6.67,24,10,1,313.75,10,0,1,Fast Food,Storm,High,Scooter,83.3,2,0,3
174,user_021,Chocolate Donut,1.49,18,19,1,262.38,7,0,1,Continental,Storm,High,Bike,61.0,2,0,5
175,user_009,Sushi Roll,9.48,13,10,1,1126.11,15,0,0,South Indian,Rain,Low,Scooter,55.8,4,0,4
176,user_002,Margherita Pizza,2.42,10,9,0,457.16,13,0,0,Fast Food,Rain,Low,Scooter,27.4,5,1,4
177,user_010,Veg Fried Rice,10.36,22,19,0,1224.36,53,1,1,Italian,Storm,Low,Bike,64.8,3,0,1
178,user_048,Margherita Pizza,11.79,17,17,0,196.5,59,0,2,South Indian,Sunny,Low,Bike,50.3,5,0,5
179,user_070,Sushi Roll,6.17,29,8,0,1186.24,69,0,1,Italian,Cloudy,Medium,Scooter,54.6,4,1,3
180,user_030,Veg Fried Rice,2.86,12,21,1,687.74,7,0,1,Indian,Storm,High,Bicycle,63.8,1,1,3
181,user_051,Ice Cream Cone,7.83,17,18,0,204.76,72,1,1,Fast Food,Sunny,High,Bike,54.9,3,0,3
182,user_046,Margherita Pizza,2.07,29,22,0,918.59,19,1,3,Fast Food,Rain,Low,Bike,41.3,4,1,3
183,user_051,Veg Fried Rice,8.39,27,9,1,1075.63,5,1,2,Fast Food,Rain,Low,Bike,61.8,2,0,3
184,user_029,Margherita Pizza,6.89,22,14,0,449.79,59,1,1,Italian,Cloudy,Low,Scooter,44.4,1,0,4
185,user_043,Paneer Tikka,9.85,5,9,1,1496.03,25,0,3,Italian,Sunny,High,Bicycle,63.0,1,0,4
186,user_020,Paneer Tikka,5.04,5,15,0,635.82,54,1,1,Indian,Cloudy,High,Scooter,47.5,3,0,3
187,user_063,Sushi Roll,3.72,9,18,1,686.93,67,1,0,Fast Food,Storm,High,Scooter,65.5,3,0,4
188,user_021,Paneer Tikka,0.84,30,15,0,1189.95,7,0,3,Italian,Cloudy,Low,Scooter,37.3,5,0,2
189,user_004,Ice Cream Cone,9.67,16,19,0,1409.29,22,1,2,Italian,Sunny,Low,Bicycle,47.2,3,0,5
190,user_068,Chocolate Donut,9.82,20,8,0,858.97,22,0,0,South Indian,Cloudy,High,Bike,64.9,5,0,3
191,user_010,Sushi Roll,11.07,15,20,0,183.38,18,0,1,South Indian,Cloudy,Low,Scooter,53.8,5,0,5
192,user_079,Sushi Roll,2.31,18,15,1,1208.58,62,0,1,Indian,Rain,Medium,Scooter,50.6,5,0,5
193,user_079,Margherita Pizza,1.96,28,11,0,102.52,73,0,0,Chinese,Storm,Medium,Bicycle,53.6,3,0,4
194,user_089,Paneer Tikka,11.8,10,19,1,990.66,11,0,2,Chinese,Rain,High,Bike,75.2,3,0,3
195,user_074,Ice Cream Cone,5.33,10,15,0,1338.37,63,0,2,Indian,Sunny,Low,Scooter,30.6,1,0,2
196,user_012,Sushi Roll,3.5,8,23,1,203.88,21,0,1,Fast Food,Sunny,Low,Scooter,33.7,5,0,1
197,user_007,Chocolate Donut,1.66,11,23,1,1464.16,52,0,2,Fast Food,Cloudy,High,Scooter,49.8,3,0,2
198,user_061,Paneer Tikka,9.97,25,17,1,940.3,25,1,1,Indian,Rain,Low,Scooter,64.4,3,0,4
199,user_029,Sushi Roll,6.76,10,9,1,619.43,48,0,3,Fast Food,Storm,High,Scooter,68.2,4,0,2
200,user_088,Chocolate Donut,6.73,29,15,1,925.62,70,1,3,Continental,Sunny,Low,Bicycle,57.0,4,0,4
201,user_025,Margherita Pizza,7.07,21,9,1,1220.63,18,1,3,Italian,Sunny,Medium,Bicycle,55.4,2,0,4
202,user_002,Ice Cream Cone,7.34,15,21,1,1375.13,8,1,3,Indian,Storm,Low,Bicycle,61.2,3,0,1
203,user_034,Chocolate Donut,9.22,8,23,0,1394.9,72,0,2,Fast Food,Cloudy,Low,Bicycle,44.9,3,0,5
204,user_035,Sushi Roll,2.15,24,8,1,1053.14,51,1,2,South Indian,Storm,Low,Bike,55.3,1,0,3
205,user_012,Margherita Pizza,8.38,12,22,0,288.14,56,0,2,Italian,Rain,Medium,Scooter,51.0,4,0,2
206,user_032,Paneer Tikka,6.43,10,22,0,191.86,64,0,0,Fast Food,Storm,High,Scooter,60.1,2,0,1
207,user_061,Veg Fried Rice,6.31,25,19,0,1392.3,3,1,3,Italian,Cloudy,Medium,Scooter,54.8,2,0,3
208,user_035,Ice Cream Cone,0.82,6,21,1,328.07,73,0,1,Chinese,Rain,High,Bicycle,47.4,2,0,5
209,user_059,Sushi Roll,7.41,5,14,0,413.28,39,0,2,Indian,Sunny,Medium,Bike,38.6,4,0,4
210,user_082,Sushi Roll,11.99,16,16,1,886.04,36,0,0,Italian,Storm,High,Bike,88.1,3,0,3
211,user_034,Chocolate Donut,3.26,6,20,0,1227.6,51,0,1,Continental,Rain,Low,Bike,29.7,4,0,4
212,user_022,Ice Cream Cone,9.88,15,13,0,1117.17,28,0,3,Continental,Sunny,High,Bicycle,62.6,3,0,3
213,user_043,Sushi Roll,9.8,29,16,1,1377.67,42,0,1,Indian,Storm,Low,Bicycle,75.9,3,0,5
214,user_053,Paneer Tikka,7.8,23,12,1,1422.02,9,0,1,Italian,Storm,Low,Scooter,67.6,4,0,2
215,user_008,Paneer Tikka,11.85,9,22,0,542.94,23,0,3,Chinese,Rain,Medium,Bicycle,57.9,2,0,3
216,user_005,Veg Fried Rice,9.28,7,14,0,281.17,55,0,3,Chinese,Cloudy,High,Bike,56.7,4,0,3
217,user_009,Paneer Tikka,0.55,28,17,1,448.35,44,0,0,Indian,Rain,High,Bike,59.3,5,0,3
218,user_017,Margherita Pizza,4.44,20,8,0,602.95,24,1,3,Fast Food,Rain,Medium,Bicycle,45.2,2,0,5
